timestamp,symbol,open,high,low,close,volume
2026-07-15T09:31:00-04:00,TEST,4.80,4.83,4.79,4.82,1000
2026-07-15T09:32:00-04:00,TEST,4.82,4.84,4.81,4.83,1000
2026-07-15T09:33:00-04:00,TEST,4.83,4.85,4.82,4.84,1000
2026-07-15T09:34:00-04:00,TEST,4.84,4.86,4.83,4.85,1000
2026-07-15T09:35:00-04:00,TEST,4.85,4.87,4.84,4.86,1000
2026-07-15T09:36:00-04:00,TEST,4.86,4.88,4.85,4.87,1000
2026-07-15T09:37:00-04:00,TEST,4.87,4.89,4.86,4.88,1000
2026-07-15T09:38:00-04:00,TEST,4.88,4.90,4.87,4.89,1000
2026-07-15T09:39:00-04:00,TEST,4.89,4.91,4.88,4.90,1000
2026-07-15T09:40:00-04:00,TEST,4.90,4.92,4.89,4.91,1000
2026-07-15T09:41:00-04:00,TEST,4.90,5.10,4.90,5.08,2500
2026-07-15T09:42:00-04:00,TEST,5.08,5.09,5.06,5.07,800
2026-07-15T09:43:00-04:00,TEST,5.07,5.08,5.05,5.06,700
2026-07-15T09:44:00-04:00,TEST,5.08,5.25,5.04,5.20,3000
